loopIteration,time (us),axisRate[0],axisRate[1],axisRate[2],axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],vbat (V),BaroAlt (cm),rssi,gyroADC[0],gyroADC[1],gyroADC[2],accSmooth[0],accSmooth[1],accSmooth[2],accVib,servo[0],servo[1],navState,navFlags,activeWpNumber,flightModeFlags (flags),activeFlightModeFlags,stateFlags (flags),failsafePhase (flags),rxSignalReceived,rxFlightChannelsValid,rxUpdateRate,hwHealthStatus,powerSupplyImpedance,sagCompensatedVBat,wind[0],wind[1],wind[2],mspOverrideFlags,IMUTemperature,baroTemperature,sens0Temp,sens1Temp,sens2Temp,sens3Temp,sens4Temp,sens5Temp,sens6Temp,sens7Temp,escRPM,escTemperature
80,68042069,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,2,131,-167,2067,55,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
84,68044139,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,2,131,-167,2066,54,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
88,68046216,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,2,131,-167,2066,54,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
92,68048321,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,131,-167,2066,53,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
96,68050462,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,131,-168,2067,53,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
100,68052528,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,131,-168,2067,52,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
104,68054599,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,131,-168,2067,51,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
108,68056663,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,1,131,-169,2066,51,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
112,68058727,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,2,131,-169,2065,50,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
116,68060850,17,9,0,8,4,0,0,0,0,0,0,28,22,0,0,0,0,1050,12.540,-127,1023,0,0,2,131,-169,2065,50,1490,1438,26,37,1,ARM,129,GPS_FIX_HOME|GPS_FIX|SMALL_ANGLE|FIXED_WING_LEGACY|ANTI_WINDUP|NAV_MOTOR_STOP_OR_IDLE|COMPASS_CALIBRATED|ACCELEROMETER_CALIBRATED|AIRMODE_ACTIVE|AIRPLANE|ALTITUDE_CONTROL|MOVE_FORWARD_ONLY|SET_REVERSIBLE_MOTORS_FORWARD,IDLE,1,1,114,341,0,0,0,0,0,1,407,420,-1250,-1250,-1250,-1250,-1250,-1250,-1250,-1250,1778576784,5
