timestamp_ms,pos_raw_n,pos_raw_e,pos_raw_d,vel_n,vel_e,vel_d,quat_w,quat_x,quat_y,quat_z
352830,20.625,70.5,-14.875,-2.23046875,-8.80859375,-1.46875,0.7072664571062349,-0.032624286629841,0.1588183233130894,-0.6881008331553087
352871,20.5625,70.125,-14.9375,-2.33984375,-8.73046875,-1.578125,0.7042146061586352,-0.010132145146031068,0.14633625293740654,-0.6946623126926481
352921,20.4375,69.8125,-15.0,-2.44921875,-8.69140625,-1.5703125,0.7029023102511673,0.02151554918057802,0.12863551744132817,-0.6992400891140477
352971,20.3125,69.25,-15.0625,-2.55859375,-8.609375,-1.4609375,0.7041230506302072,0.049958800012207406,0.11578722495193335,-0.6987823114719077
353032,20.125,68.75,-15.1875,-2.6484375,-8.48828125,-1.5390625,0.7083040864284188,0.07812738425855281,0.10956144901882992,-0.6929837946714682
353084,20.0,68.4375,-15.25,-2.69140625,-8.37109375,-1.7109375,0.7136143070772424,0.09384441663869136,0.11279641102328562,-0.6849879451887569
353134,19.875,67.9375,-15.375,-2.73046875,-8.12109375,-2.0703125,0.7189550462355419,0.10513626514481032,0.11938840907010102,-0.6765953550828577
353174,19.75,67.625,-15.5,-2.75,-7.921875,-2.328125,0.7230445265053255,0.11072115237891782,0.1228370006408887,-0.6707052827539903
353225,19.625,67.25,-15.5625,-2.80078125,-7.6796875,-2.55078125,0.7272560808130131,0.11392559587389751,0.12225714896084475,-0.6657002471999267
353281,19.4375,66.8125,-15.75,-2.83984375,-7.37890625,-2.78125,0.729209265419477,0.11755729850154119,0.11215552232428969,-0.6647236548966948
353328,19.3125,66.5625,-15.875,-2.87890625,-7.19921875,-2.87109375,0.728659932248909,0.119571520126957,0.09384441663869136,-0.6677755058442946
353376,19.125,66.125,-16.0,-2.94921875,-7.0,-2.7890625,0.7269508957182531,0.11395611438337351,0.07235938596758934,-0.67329935605945
353426,18.9375,65.875,-16.125,-3.01953125,-6.91015625,-2.640625,0.7245399334696493,0.10156559953611866,0.04837183751945555,-0.6799829096346934
353477,18.75,65.5,-16.3125,-3.12109375,-6.80078125,-2.3203125,0.7220068971831416,0.08334604937894834,0.02459791863765374,-0.6863917966246529
353527,18.5625,65.1875,-16.375,-3.19140625,-6.73828125,-1.98828125,0.7195043794061098,0.06381420331431013,-0.0008545182653279214,-0.6915494247260964
353578,18.375,64.8125,-16.5,-3.2890625,-6.640625,-1.41015625,0.716422009949034,0.048768578142643515,-0.0347300637836848,-0.6950895718253121
353628,18.1875,64.5625,-16.5625,-3.37109375,-6.58984375,-0.9296875,0.7131260109256264,0.037873470259712515,-0.07785271767326883,-0.695669423505356
353678,18.0625,64.3125,-16.625,-3.46875,-6.53125,-0.390625,0.7087618640705587,0.029541917172765282,-0.12540055543687245,-0.6935941648609882
353729,17.8125,63.9375,-16.6875,-3.6015625,-6.44921875,0.5,0.7047639393292031,0.016235847041230506,-0.16492202520828883,-0.6898098696859646
353780,17.5625,63.5625,-16.625,-3.6796875,-6.33984375,1.37109375,0.7011017181920834,0.001098666341135899,-0.1945554979094821,-0.6859950560014649
353830,17.375,63.3125,-16.625,-3.69921875,-6.30078125,1.890625,0.6980803857539598,-0.013794366283150731,-0.21875667592394787,-0.6816614276558733
353876,17.25,63.0625,-16.5625,-3.7109375,-6.25,2.390625,0.695150608844264,-0.0293282876064333,-0.2339548936429945,-0.6790978728598895
353923,17.0,62.75,-16.4375,-3.7109375,-6.140625,3.19140625,0.6910916470839564,-0.05145420697653127,-0.24494155705435347,-0.6780297250282297
353977,16.8125,62.5,-16.375,-3.69921875,-6.05859375,3.6796875,0.6873683889278848,-0.07321390423291727,-0.25376140629291666,-0.6765953550828577
354034,16.625,62.125,-16.1875,-3.671875,-5.98828125,4.3203125,0.6850795007171849,-0.09549241615039522,-0.260933256019776,-0.673390911587878
354075,16.4375,61.9375,-16.0,-3.6484375,-5.94921875,4.76953125,0.684377574999237,-0.11008026367992187,-0.2639851069673757,-0.6706747642445143
354125,16.3125,61.6875,-15.875,-3.62890625,-5.921875,5.1796875,0.684560686056093,-0.1274452955717643,-0.26691488387707146,-0.6662495803704948
354176,16.0625,61.3125,-15.5625,-3.6015625,-5.859375,5.76171875,0.6852931302835169,-0.14261299478133488,-0.2682882168034913,-0.6618549150059511
354226,15.9375,61.125,-15.375,-3.5703125,-5.83984375,6.12109375,0.6860866115298929,-0.15604113895077365,-0.26798303170873133,-0.6581316568498794
354278,15.75,60.75,-15.0,-3.51171875,-5.87109375,6.55859375,0.6871852778710288,-0.16187017426068911,-0.2676168095950194,-0.6557206946012757
354330,15.5,60.4375,-14.625,-3.44140625,-5.94921875,6.87890625,0.6885891293069246,-0.16455580309457687,-0.2662434766685995,-0.6541337321085238
354380,15.375,60.1875,-14.375,-3.37109375,-6.01953125,7.05859375,0.6891994994964445,-0.16385387737662893,-0.2630085146641438,-0.6549882503738518
354435,15.1875,59.8125,-14.0,-3.30078125,-6.1484375,7.26953125,0.6894436475722525,-0.16010010071108127,-0.2598345896786401,-0.6569109164708395
354471,15.0625,59.5625,-13.6875,-3.25,-6.25,7.37109375,0.6915189062166204,-0.15088351084933013,-0.26081118198187203,-0.6564836573381756
354526,14.9375,59.3125,-13.4375,-3.171875,-6.41015625,7.421875,0.6973174230170599,-0.1260414441358684,-0.2731406598101749,-0.6505935850093082
354572,14.75,58.9375,-13.0,-3.01953125,-6.640625,7.44921875,0.7040009765923032,-0.09408856471449935,-0.2923062837611011,-0.6403698843348491
354622,14.625,58.6875,-12.6875,-2.91015625,-6.80078125,7.4609375,0.7105014191106906,-0.061037018951994385,-0.3130588702047792,-0.6272774437696463
354673,14.4375,58.3125,-12.25,-2.73046875,-6.98828125,7.5,0.718039490951262,-0.029206213568529312,-0.3296609393597217,-0.6122623371074557
354724,14.3125,58.0,-12.0,-2.55859375,-7.140625,7.51171875,0.728690450758385,-0.006317331461531419,-0.32880642109439373,-0.6007263405255288
354775,14.1875,57.625,-11.5625,-2.23828125,-7.359375,7.3984375,0.7427594836268196,0.009643848994415113,-0.3108310190130314,-0.5929746391186255
354825,14.0625,57.3125,-11.25,-1.9296875,-7.5703125,7.1796875,0.759727774895474,0.02673421430097354,-0.282967619861446,-0.5848261970885342
354876,13.9375,56.875,-10.875,-1.328125,-7.859375,6.6015625,0.7785271767326883,0.05075228125858333,-0.25183874019592883,-0.5726493118076114
354927,13.9375,56.5625,-10.625,-0.828125,-8.0390625,6.01953125,0.7975096896267586,0.08517715994750816,-0.2217474898525956,-0.554551835688345
354983,13.875,56.0625,-10.3125,-0.109375,-8.140625,4.9609375,0.815759758293405,0.10843226416821802,-0.18594927823725088,-0.5368511001922666
355029,13.875,55.75,-10.125,0.390625,-8.109375,4.19921875,0.8280892361217078,0.11786248359630115,-0.1585131382183294,-0.5246436964018677
355079,13.875,55.25,-9.9375,0.87890625,-7.98828125,3.3203125,0.8337961973937192,0.10998870815149388,-0.14722128971221046,-0.5205847346415601
355130,13.9375,55.0,-9.8125,1.05859375,-7.921875,2.9609375,0.8329111606189153,0.09414960173345134,-0.15301980651264993,-0.5234229560228278
355171,13.9375,54.6875,-9.6875,1.1484375,-7.87109375,2.76953125,0.8281197546311838,0.07748649555955688,-0.1674855800042726,-0.5292825098422193
355221,14.0,54.3125,-9.5,1.109375,-7.8515625,2.890625,0.8210699789422284,0.06009094515823847,-0.18558305612353893,-0.5364848780785546
355272,14.0,54.0625,-9.4375,1.01953125,-7.8203125,3.0703125,0.815790276802881,0.04657124546037172,-0.19748527481917783,-0.5415814691610462
355334,14.0625,53.6875,-9.25,0.828125,-7.76953125,3.44140625,0.8147831659901731,0.0347911008026368,-0.20603045747245705,-0.5407879879146702
355373,14.0625,53.4375,-9.125,0.69921875,-7.71875,3.671875,0.8163090914639729,0.023529770805993836,-0.21121860408337656,-0.5370952482680745
355424,14.0625,53.125,-8.875,0.55859375,-7.62890625,4.01171875,0.8190557573168127,0.010620441297647023,-0.22208319345683156,-0.5288857692190313
355475,14.0625,52.9375,-8.75,0.44921875,-7.5703125,4.3203125,0.8220770897549363,0.006225775933103427,-0.23850215155491805,-0.5169530320139164
355525,14.125,52.5625,-8.5,0.5390625,-7.5703125,4.76171875,0.825373088778344,0.004028443250831629,-0.2534562211981567,-0.5044709616382336
355576,14.125,52.1875,-8.3125,0.7109375,-7.609375,5.078125,0.8271126438184759,0.0005188146610919523,-0.2661519211401715,-0.49501022370067443
355627,14.25,51.6875,-8.0,0.94921875,-7.62890625,5.5703125,0.8271126438184759,-0.001434369945371868,-0.27344584490493484,-0.4910428174687948
355688,14.3125,51.1875,-7.6875,1.16015625,-7.6484375,6.01953125,0.826258125553148,-0.0073854792931913205,-0.2696005127109592,-0.4945524460585345
355728,14.375,50.875,-7.4375,1.30859375,-7.6796875,6.19921875,0.826105533005768,-0.011627552110354931,-0.2597430341502121,-0.499954222235786
355779,14.4375,50.5,-7.1875,1.48046875,-7.73046875,6.30859375,0.8282723471785638,-0.017792291024506364,-0.2367320780053102,-0.5075533310953093
355831,14.5625,50.0,-6.875,1.9609375,-7.890625,6.0,0.8335520493179113,-0.018982512894070255,-0.20517593920712912,-0.5125888851588488
355880,14.6875,49.625,-6.625,2.2890625,-7.98828125,5.6484375,0.8403271584215827,-0.003906369212927641,-0.173894466994232,-0.5133823664052247
355921,14.8125,49.3125,-6.4375,2.6015625,-8.078125,5.23046875,0.8449049348429822,0.002349925229651784,-0.14151432844019898,-0.5158238471633045
355982,15.0,48.8125,-6.125,3.03125,-8.2109375,4.25,0.8499099703970459,-0.0034180730613116855,-0.0837427900021363,-0.5202185125278481
356022,15.1875,48.4375,-6.0,3.2890625,-8.3203125,3.421875,0.8511001922666097,-0.018311105685598315,-0.043885616626483964,-0.5228431043427839
356083,15.375,47.875,-5.8125,3.421875,-8.3984375,2.3203125,0.8490554521317178,-0.05099642933439131,0.010803552354503006,-0.5257423627430037
