t_s,cell,phase,throttle,elevator_trim,axis,amplitude,cmd_aileron,cmd_elevator,cmd_throttle,elev_trimmed,rate_p,rate_q,rate_r,phi,theta,psi,vel_x,vel_y,vel_z,v_rel_airmass,pos_x,pos_y,pos_z,flight_cl
0.180000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.002615,0.450000,0.002615,-0.210450,-0.412726,0.506768,-0.025082,-0.028961,3.191130,-40.955301,0.246837,2.503252,31.760504,-7.690675,0.021089,-180.190769,0.420705
0.185000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.002743,0.450000,0.002743,-0.212137,-0.421265,0.517170,-0.026216,-0.030979,3.193744,-40.921911,0.254787,2.561836,31.810879,-7.896746,0.022343,-180.178106,0.413566
0.190000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.002874,0.450000,0.002874,-0.213133,-0.426562,0.527388,-0.027365,-0.033028,3.196413,-40.890066,0.262829,2.617422,31.759193,-8.102652,0.023637,-180.165158,0.416925
0.195000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.003008,0.450000,0.003008,-0.214535,-0.429077,0.537374,-0.028527,-0.035092,3.199135,-40.859876,0.270832,2.676114,31.811057,-8.308403,0.024972,-180.151924,0.411486
0.200000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.003144,0.450000,0.003144,-0.215585,-0.431976,0.547085,-0.029702,-0.037165,3.201909,-40.831061,0.278894,2.733139,31.814773,-8.514005,0.026346,-180.138401,0.411955
0.205000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.003284,0.450000,0.003284,-0.217755,-0.433391,0.556507,-0.030894,-0.039244,3.204735,-40.803758,0.286974,2.791136,31.751656,-8.719465,0.027761,-180.124591,0.409711
0.210000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.003426,0.450000,0.003426,-0.218811,-0.437155,0.565547,-0.032101,-0.041331,3.207609,-40.778656,0.295026,2.846567,31.708901,-8.924794,0.029216,-180.110496,0.417079
0.215000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.003571,0.450000,0.003571,-0.220943,-0.440296,0.574389,-0.033324,-0.043430,3.210532,-40.755219,0.303142,2.901843,31.694319,-9.130001,0.030711,-180.096125,0.420497
0.220000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.003719,0.450000,0.003719,-0.220326,-0.444035,0.582928,-0.034559,-0.045541,3.213502,-40.733568,0.311189,2.955401,31.709542,-9.335094,0.032247,-180.081482,0.425877
0.225000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.003869,0.450000,0.003869,-0.221122,-0.447493,0.591006,-0.035803,-0.047665,3.216516,-40.713406,0.319261,3.007696,31.659708,-9.540082,0.033823,-180.066574,0.430147
0.230000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.004023,0.450000,0.004023,-0.221498,-0.447979,0.598742,-0.037059,-0.049794,3.219574,-40.694652,0.327173,3.063104,31.669187,-9.744972,0.035439,-180.051397,0.424629
0.235000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.004178,0.450000,0.004178,-0.222452,-0.452005,0.606175,-0.038326,-0.051929,3.222673,-40.677734,0.335216,3.114171,31.611576,-9.949772,0.037095,-180.035954,0.433469
0.240000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.004337,0.450000,0.004337,-0.221937,-0.453465,0.613305,-0.039603,-0.054072,3.225812,-40.662371,0.343086,3.167290,31.511303,-10.154491,0.038791,-180.020251,0.432500
0.245000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.004498,0.450000,0.004498,-0.221675,-0.452486,0.620265,-0.040888,-0.056211,3.228989,-40.648347,0.350818,3.224400,31.535342,-10.359136,0.040525,-180.004271,0.423838
0.250000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.004662,0.450000,0.004662,-0.220381,-0.451516,0.627098,-0.042177,-0.058340,3.232204,-40.635408,0.358557,3.281450,31.567518,-10.563713,0.042299,-179.988007,0.419567
0.255000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.004829,0.450000,0.004829,-0.219199,-0.454489,0.633502,-0.043469,-0.060468,3.235455,-40.624360,0.366387,3.333277,31.586397,-10.768230,0.044111,-179.971470,0.431218
0.260000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.004998,0.450000,0.004998,-0.217715,-0.453415,0.639697,-0.044763,-0.062595,3.238741,-40.614140,0.374083,3.388477,31.666108,-10.972693,0.045962,-179.954665,0.425894
0.265000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.005170,0.450000,0.005170,-0.216262,-0.457161,0.645554,-0.046059,-0.064723,3.242061,-40.605667,0.381951,3.437612,31.720327,-11.177109,0.047852,-179.937600,0.438100
