t_s,cell,phase,throttle,elevator_trim,axis,amplitude,cmd_aileron,cmd_elevator,cmd_throttle,elev_trimmed,rate_p,rate_q,rate_r,phi,theta,psi,vel_x,vel_y,vel_z,v_rel_airmass,pos_x,pos_y,pos_z,flight_cl
0.155000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.002042,0.450000,-0.002042,-0.176435,-0.388308,0.436776,-0.017658,-0.018705,3.177907,-41.174826,0.199115,2.246098,31.567376,-6.659363,0.014909,-899.826436,0.433065
0.160000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.002157,0.450000,-0.002157,-0.178527,-0.392609,0.448238,-0.018590,-0.020617,3.180155,-41.135113,0.206475,2.303059,31.513190,-6.866516,0.015923,-899.815063,0.432892
0.165000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.002275,0.450000,-0.002275,-0.180255,-0.397935,0.459492,-0.019536,-0.022549,3.182462,-41.097392,0.213887,2.358391,31.475535,-7.073474,0.016974,-899.803410,0.438127
0.170000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.002396,0.450000,-0.002396,-0.182028,-0.399322,0.470616,-0.020498,-0.024496,3.184827,-41.061078,0.221314,2.417118,31.429552,-7.280245,0.018062,-899.791471,0.430881
0.175000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.002520,0.450000,-0.002520,-0.183296,-0.402509,0.481555,-0.021473,-0.026450,3.187250,-41.026734,0.228791,2.474132,31.466942,-7.486839,0.019187,-899.779243,0.433865
0.180000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.002646,0.450000,-0.002646,-0.184825,-0.405342,0.492346,-0.022461,-0.028415,3.189730,-40.993850,0.236371,2.529789,31.422501,-7.693264,0.020350,-899.766733,0.436917
0.185000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.002775,0.450000,-0.002775,-0.185883,-0.415872,0.502726,-0.023462,-0.030411,3.192265,-40.962773,0.243923,2.586710,31.443539,-7.899527,0.021551,-899.753942,0.435759
0.190000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.002908,0.450000,-0.002908,-0.187028,-0.419041,0.513032,-0.024476,-0.032437,3.194855,-40.932975,0.251510,2.645032,31.457155,-8.105637,0.022789,-899.740862,0.430315
0.195000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.003043,0.450000,-0.003043,-0.188015,-0.420857,0.523108,-0.025502,-0.034471,3.197498,-40.904607,0.259086,2.704524,31.434582,-8.311601,0.024066,-899.727488,0.424822
0.200000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.003181,0.450000,-0.003181,-0.188619,-0.422177,0.533000,-0.026539,-0.036509,3.200194,-40.877948,0.266660,2.764263,31.388965,-8.517427,0.025380,-899.713816,0.422893
0.205000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.003322,0.450000,-0.003322,-0.188909,-0.422603,0.542597,-0.027586,-0.038548,3.202941,-40.852982,0.274180,2.824625,31.373334,-8.723122,0.026732,-899.699844,0.421263
0.210000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.003467,0.450000,-0.003467,-0.188922,-0.424588,0.551979,-0.028641,-0.040588,3.205738,-40.829825,0.281746,2.882665,31.347666,-8.928696,0.028122,-899.685576,0.426991
0.215000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.003614,0.450000,-0.003614,-0.188563,-0.424309,0.561092,-0.029703,-0.042628,3.208584,-40.808121,0.289237,2.942329,31.322066,-9.134158,0.029549,-899.671013,0.424730
0.220000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.003764,0.450000,-0.003764,-0.188044,-0.423390,0.569948,-0.030771,-0.044661,3.211477,-40.787921,0.296678,3.002723,31.280136,-9.339514,0.031014,-899.656151,0.422236
0.225000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.003917,0.450000,-0.003917,-0.187466,-0.424182,0.578577,-0.031844,-0.046689,3.214417,-40.769597,0.304135,3.061291,31.246579,-9.544773,0.032516,-899.640991,0.427305
0.230000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.004073,0.450000,-0.004073,-0.187032,-0.424129,0.586918,-0.032923,-0.048714,3.217401,-40.752797,0.311543,3.120089,31.206645,-9.749944,0.034055,-899.625537,0.428731
0.235000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.004232,0.450000,-0.004232,-0.186025,-0.423568,0.594954,-0.034006,-0.050733,3.220429,-40.737527,0.318856,3.179286,31.173371,-9.955034,0.035631,-899.609789,0.428690
