t_ms,msp,motor,servo0,servo1,gyro_p,gyro_q,gyro_r,acc_x,acc_y,acc_z,qw,qx,qy,qz,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,tgtpos_n,tgtpos_e,tgtpos_d,rcData0,rcData1,rcData2,rcData3
167721.2910,3.0000,1693.0000,1500.0000,1500.0000,-6.0000,17.0000,30.0000,52.0000,-219.0000,137.0000,0.1379,-0.3043,-0.2738,0.9019,156.4600,-73.9800,-110.6300,-22.7000,-2.7100,7.2100,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
167737.8450,3.0000,1693.0000,1500.0000,1500.0000,-10.0000,16.0000,31.0000,85.0000,-190.0000,-170.0000,0.1339,-0.3075,-0.2737,0.9015,156.0700,-74.0200,-110.5300,-22.6400,-2.6900,7.3500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
167754.3730,3.0000,1693.0000,1500.0000,1500.0000,-8.0000,16.0000,31.0000,99.0000,30.0000,-247.0000,0.1300,-0.3107,-0.2737,0.9009,155.7000,-74.0500,-110.4300,-22.5600,-2.6700,7.5200,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
167770.9340,3.0000,1691.0000,1500.0000,1500.0000,-10.0000,15.0000,29.0000,59.0000,-67.0000,-64.0000,0.1260,-0.3137,-0.2737,0.9005,155.3400,-74.0800,-110.3300,-22.4700,-2.6500,7.6900,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1708.0000
167787.6820,3.0000,1693.0000,1500.0000,1500.0000,-16.0000,14.0000,27.0000,36.0000,-22.0000,157.0000,0.1220,-0.3169,-0.2743,0.8997,155.3400,-74.0800,-110.3300,-22.4700,-2.6500,7.6900,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
167804.2310,3.0000,1693.0000,1500.0000,1500.0000,-28.0000,14.0000,24.0000,75.0000,-9.0000,358.0000,0.1178,-0.3202,-0.2755,0.8987,154.9800,-74.1100,-110.2200,-22.4000,-2.6200,7.8500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
167821.2730,3.0000,1693.0000,1500.0000,1500.0000,-27.0000,16.0000,22.0000,95.0000,79.0000,422.0000,0.1137,-0.3235,-0.2779,0.8973,154.6400,-74.1400,-110.1100,-22.3300,-2.5700,7.9900,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
167837.7370,3.0000,1693.0000,1500.0000,1500.0000,-33.0000,15.0000,18.0000,46.0000,-2.0000,153.0000,0.1103,-0.3263,-0.2810,0.8958,154.3000,-74.1700,-110.0000,-22.2700,-2.5200,8.1300,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
167854.1590,3.0000,1691.0000,1500.0000,1500.0000,-33.0000,17.0000,15.0000,137.0000,-49.0000,-34.0000,0.1073,-0.3290,-0.2851,0.8939,153.9700,-74.1900,-109.8900,-22.1900,-2.4900,8.2900,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1708.0000
167870.7710,3.0000,1692.0000,1500.0000,1500.0000,-29.0000,15.0000,13.0000,87.0000,-176.0000,29.0000,0.1048,-0.3313,-0.2889,0.8921,153.9700,-74.1900,-109.8900,-22.1900,-2.4900,8.2900,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
167887.3250,3.0000,1693.0000,1500.0000,1500.0000,-27.0000,14.0000,12.0000,65.0000,-187.0000,330.0000,0.1027,-0.3335,-0.2918,0.8906,153.6500,-74.2200,-109.7700,-22.1000,-2.4800,8.4500,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
167903.8890,3.0000,1693.0000,1500.0000,1500.0000,-22.0000,16.0000,15.0000,12.0000,-365.0000,464.0000,0.1005,-0.3358,-0.2943,0.8891,153.3400,-74.2400,-109.6600,-22.0100,-2.4500,8.5900,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
167920.7530,3.0000,1693.0000,1500.0000,1500.0000,-22.0000,15.0000,19.0000,-9.0000,-361.0000,453.0000,0.0975,-0.3392,-0.2959,0.8876,153.0400,-74.2700,-109.5300,-21.9400,-2.4300,8.7000,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
167937.4270,3.0000,1693.0000,1500.0000,1500.0000,-19.0000,15.0000,24.0000,37.0000,-281.0000,236.0000,0.0941,-0.3422,-0.2972,0.8864,152.7400,-74.2900,-109.4100,-21.8600,-2.4100,8.8200,0.0000,0.0000,-0.0000,1500.0000,1498.0000,1500.0000,1710.0000
167953.8780,3.0000,1693.0000,1500.0000,1500.0000,-25.0000,16.0000,29.0000,83.0000,-144.0000,-15.0000,0.0902,-0.3453,-0.2989,0.8851,152.4600,-74.3100,-109.2900,-21.7600,-2.3900,8.9500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
167970.4930,3.0000,1693.0000,1500.0000,1500.0000,-34.0000,14.0000,32.0000,48.0000,-179.0000,230.0000,0.0853,-0.3485,-0.3017,0.8833,152.4600,-74.3100,-109.2900,-21.7600,-2.3900,8.9500,0.0000,0.0000,-0.0000,1500.0000,1500.0000,1500.0000,1710.0000
